code,name,name_en,full_name,full_name_en,code_name,province_code,center
194,Móng Cái,Mong Cai,Thành phố Móng Cái,Mong Cai City,mong_cai,22,"21.5290279, 107.9691594"
195,Cẩm Phả,Cam Pha,Thành phố Cẩm Phả,Cam Pha City,cam_pha,22,"21.004432, 107.278029"
196,Uông Bí,Uong Bi,Thành phố Uông Bí,Uong Bi City,uong_bi,22,"21.0414692, 106.7740261"
198,Bình Liêu,Binh Lieu,Huyện Bình Liêu,Binh Lieu District,binh_lieu,22,"21.5261707, 107.4006001"
199,Tiên Yên,Tien Yen,Huyện Tiên Yên,Tien Yen District,tien_yen,22,"21.3316482, 107.4003613"
200,Đầm Hà,Dam Ha,Huyện Đầm Hà,Dam Ha District,dam_ha,22,"21.35619175, 107.59805574155416"
201,Hải Hà,Hai Ha,Huyện Hải Hà,Hai Ha District,hai_ha,22,"20.9430069, 107.1081635"
202,Ba Chẽ,Ba Che,Huyện Ba Chẽ,Ba Che District,ba_che,22,"21.2733736, 107.2826989"
203,Vân Đồn,Van Don,Huyện Vân Đồn,Van Don District,van_don,22,"20.981892449999997, 107.50001837522814"
205,Đông Triều,Dong Trieu,Thị xã Đông Triều,Dong Trieu Town,dong_trieu,22,"21.1185246, 106.58053928233534"
206,Quảng Yên,Quang Yen,Thị xã Quảng Yên,Quang Yen Town,quang_yen,22,"20.9249192, 106.85651779735846"
207,Cô Tô,Co To,Huyện Cô Tô,Co To District,co_to,22,"20.9702965, 107.7638383"
213,Bắc Giang,Bac Giang,Thành phố Bắc Giang,Bac Giang City,bac_giang,24,"21.2795479, 106.2038074"
215,Yên Thế,Yen The,Huyện Yên Thế,Yen The District,yen_the,24,"21.52444285, 106.10659369977785"
216,Tân Yên,Tan Yen,Huyện Tân Yên,Tan Yen District,tan_yen,24,"21.387069, 106.129314"
217,Lạng Giang,Lang Giang,Huyện Lạng Giang,Lang Giang District,lang_giang,24,"21.367404999999998, 106.24753101320522"
218,Lục Nam,Luc Nam,Huyện Lục Nam,Luc Nam District,luc_nam,24,"21.304446249999998, 106.40238937066697"
219,Lục Ngạn,Luc Ngan,Huyện Lục Ngạn,Luc Ngan District,luc_ngan,24,"21.4369085, 106.62252810075765"
220,Sơn Động,Son Dong,Huyện Sơn Động,Son Dong District,son_dong,24,"21.2424225, 106.2027097"
221,Yên Dũng,Yen Dung,Huyện Yên Dũng,Yen Dung District,yen_dung,24,"21.20490835, 106.24287470550964"
222,Việt Yên,Viet Yen,Huyện Việt Yên,Viet Yen District,viet_yen,24,"21.2740311, 106.0963467"
223,Hiệp Hòa,Hiep Hoa,Huyện Hiệp Hòa,Hiep Hoa District,hiep_hoa,24,"21.33028415, 105.95727248053711"
227,Việt Trì,Viet Tri,Thành phố Việt Trì,Viet Tri City,viet_tri,25,"21.324231, 105.3881392"
228,Phú Thọ,Phu Tho,Thị xã Phú Thọ,Phu Tho Town,phu_tho,25,"21.4000047, 105.2238899"
